,cpdr_object_material
stone,116
metal,65
wood,31
terracotta,25
ceramic,23
paint,19
paper,14
gemstones,3
fabric/cloth,2
vellum,2
ivory,2
silver,2
wool,2
bark,1
marble,1
shell,1
plaster,1
gold,1
turquoise,1
watercolor,1
papier-mâché,1
oil,1
steel,1
leather,1
tempera,1
glass,1
