,cpdr_means_of_resolution
Inquiry/Demand,151
Sua sponte donation,88
Private Negotiation,87
Litigation,75
Action by Respondent's Govt.,34
Coordinated action by Complainant &amp; Respondent Governments,15
Action by Complainant's Govt.,4
Arbitration,3
