,cpdr_respondent_nation
United States,262
United Kingdom,47
Germany,25
France,23
Thailand,11
Japan,10
South Korea,9
Netherlands,9
Switzerland,8
Canada,8
Australia,6
Italy,6
Belgium,4
Russia,4
Austria,3
Denmark,3
Spain,2
Saudi Arabia,2
2 or more respondent nations,2
Sweden,2
Namibia,2
Turkey,1
Greece,1
Jordan,1
Syria,1
Hungary,1
Iraq,1
Tunisia,1
Finland,1
Norway,1
India,1
South Africa,1
China,1
New Zealand,1
Taiwan,1
Bulgaria,1
Israel,1
Bolivia,1
Mexico,1
